epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.37616,0.79338,2.68629,1.18603,0.00682,0.65009,0.42196,0.34771,0.60978,2.79888,0.98538,0.00026672,0.00026672,0.00026672
2,4.5596,0.75109,1.44566,1.08766,0.87132,0.21745,0.34887,0.25348,0.83467,2.60477,1.12521,0.000539218,0.000539218,0.000539218
3,6.68505,0.81117,1.2114,1.1303,0.82542,0.36986,0.60096,0.42457,0.88826,2.35421,1.29087,0.000800493,0.000800493,0.000800493
4,8.77528,0.79336,1.15688,1.13981,0.91881,0.40411,0.78762,0.59936,0.78549,2.16985,1.25837,0.00105055,0.00105055,0.00105055
5,10.8753,0.8032,1.10166,1.11303,0.60693,0.68315,0.7719,0.53969,0.89693,2.22902,1.33302,0.00128938,0.00128938,0.00128938
6,12.8947,0.81781,1.12728,1.11856,0.82935,0.79707,0.85631,0.59961,1.17144,1.31369,1.70949,0.00150197,0.00150197,0.00150197
7,14.9877,0.81974,1.07302,1.14179,0.87194,0.8028,0.86576,0.64323,0.85089,1.13133,1.20832,0.00146896,0.00146896,0.00146896
8,17.0017,0.85482,1.11928,1.17656,0.89021,0.81282,0.87948,0.6418,0.98506,1.16838,1.34157,0.00143595,0.00143595,0.00143595
9,19.0464,0.74917,1.01192,1.0944,0.81733,0.77057,0.8484,0.61932,0.86924,1.19689,1.2669,0.00140295,0.00140295,0.00140295
10,21.0727,0.73305,0.99293,1.09276,0.85479,0.7872,0.84861,0.6252,0.8342,1.14868,1.23215,0.00136994,0.00136994,0.00136994
11,23.1309,0.72153,0.90926,1.08342,0.78949,0.82266,0.86807,0.62823,0.95929,1.16556,1.298,0.00133693,0.00133693,0.00133693
12,25.1063,0.71368,0.90178,1.06651,0.89728,0.80928,0.89077,0.669,0.84002,0.9854,1.24997,0.00130393,0.00130393,0.00130393
13,27.1245,0.71967,0.85588,1.06021,0.90317,0.81082,0.89512,0.67159,0.8272,0.95764,1.19501,0.00127092,0.00127092,0.00127092
14,29.146,0.6984,0.90774,1.07611,0.8781,0.83372,0.89395,0.70433,0.77182,1.03806,1.19477,0.00123791,0.00123791,0.00123791
15,31.2099,0.67237,0.84066,1.06645,0.92169,0.83514,0.9178,0.73127,0.72215,0.8582,1.13405,0.00120491,0.00120491,0.00120491
16,33.6785,0.67337,0.83395,1.04888,0.94531,0.84199,0.92779,0.73076,0.6873,0.82832,1.11396,0.0011719,0.0011719,0.0011719
17,35.7236,0.72222,0.84225,1.09255,0.92612,0.83467,0.91879,0.72771,0.69513,0.83823,1.11133,0.00113889,0.00113889,0.00113889
18,37.7154,0.66445,0.78623,1.04683,0.87707,0.89017,0.91456,0.7303,0.68241,0.82084,1.10207,0.00110589,0.00110589,0.00110589
