epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10543,0.81754,1.96699,1.26319,0.95802,0.3848,0.42791,0.34566,0.81743,1.29391,1.26005,0.00054889,0.00054889,0.00054889
2,16.9006,0.75687,1.12633,1.20911,0.61796,0.51251,0.53632,0.40893,0.8025,1.10454,1.28634,0.00109544,0.00109544,0.00109544
3,24.4888,0.7745,1.01178,1.22215,0.52854,0.52323,0.53577,0.38926,0.88648,1.15007,1.33526,0.00163283,0.00163283,0.00163283
4,32.139,0.78617,0.97221,1.22948,0.60545,0.67324,0.64599,0.44156,0.89222,1.03121,1.34543,0.00162574,0.00162574,0.00162574
5,39.8758,0.78319,0.93459,1.23523,0.55797,0.59784,0.61777,0.42901,0.91858,1.01775,1.39171,0.00161199,0.00161199,0.00161199
6,47.9739,0.77101,0.87991,1.22189,0.64895,0.58115,0.6116,0.41945,0.83331,1.26143,1.28357,0.00159824,0.00159824,0.00159824
7,55.8341,0.75346,0.83996,1.20705,0.63806,0.67739,0.69548,0.48139,0.795,0.91313,1.23865,0.00158448,0.00158448,0.00158448
8,63.7541,0.72734,0.79971,1.18256,0.76128,0.56863,0.64889,0.43925,0.83034,0.89917,1.26716,0.00157073,0.00157073,0.00157073
9,71.3145,0.71577,0.78906,1.18767,0.75403,0.69401,0.70044,0.49334,0.8501,0.85714,1.31799,0.00155698,0.00155698,0.00155698
10,78.7946,0.73235,0.78686,1.18851,0.72783,0.77244,0.753,0.53623,0.75879,0.76267,1.21352,0.00154323,0.00154323,0.00154323
11,86.3072,0.68041,0.72614,1.15932,0.63545,0.74849,0.72249,0.5014,0.80392,0.89211,1.23355,0.00152947,0.00152947,0.00152947
12,93.8579,0.72197,0.74757,1.17743,0.76322,0.72364,0.74911,0.50818,0.77708,0.75506,1.2452,0.00151572,0.00151572,0.00151572
13,101.447,0.72798,0.72986,1.18224,0.78408,0.6911,0.72863,0.53357,0.71468,0.70781,1.18441,0.00150197,0.00150197,0.00150197
14,108.982,0.69081,0.69148,1.16462,0.7196,0.74599,0.74026,0.52482,0.7907,0.77442,1.23513,0.00148821,0.00148821,0.00148821
15,116.514,0.66196,0.66254,1.13949,0.79282,0.68485,0.77644,0.53866,0.72105,0.70774,1.18776,0.00147446,0.00147446,0.00147446
