epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.64968,0.4886,0.42876,1.06924,0.98498,0.90129,0.97916,0.89096,0.41189,0.34553,0.99483,0.000658436,0.000658436,0.000658436
2,18.4215,0.52944,0.42121,1.08794,0.97402,0.90034,0.96725,0.86251,0.45785,0.39727,1.03527,0.00130761,0.00130761,0.00130761
3,26.98,0.55183,0.46223,1.10361,0.98182,0.87285,0.96564,0.83728,0.50941,0.45967,1.08342,0.00193919,0.00193919,0.00193919
4,35.4467,0.58142,0.46957,1.12918,0.89485,0.87733,0.93328,0.79531,0.56396,0.55254,1.14102,0.0019208,0.0019208,0.0019208
5,43.8772,0.62023,0.50277,1.15348,0.93079,0.92424,0.9716,0.83729,0.54071,0.54254,1.11818,0.0018944,0.0018944,0.0018944
6,52.2745,0.59666,0.50166,1.13439,0.93057,0.88316,0.96469,0.82568,0.54695,0.50444,1.13662,0.001868,0.001868,0.001868
7,60.8891,0.58412,0.50577,1.12322,0.93574,0.87285,0.96353,0.8251,0.53343,0.5843,1.13265,0.0018416,0.0018416,0.0018416
8,69.2953,0.5765,0.48953,1.12112,0.93927,0.92784,0.96983,0.85796,0.49318,0.48358,1.06014,0.0018152,0.0018152,0.0018152
9,77.7031,0.57647,0.49146,1.12193,0.97357,0.88597,0.96832,0.84843,0.51503,0.46826,1.10274,0.0017888,0.0017888,0.0017888
10,86.9277,0.58278,0.49072,1.1339,0.97816,0.92325,0.97701,0.86375,0.48704,0.41163,1.05616,0.0017624,0.0017624,0.0017624
11,95.499,0.56574,0.47682,1.10863,0.93796,0.9244,0.96705,0.82984,0.54088,0.47484,1.13072,0.001736,0.001736,0.001736
12,103.887,0.56282,0.46759,1.12201,0.94458,0.9372,0.97487,0.86693,0.48091,0.41407,1.0581,0.0017096,0.0017096,0.0017096
13,112.274,0.55936,0.46278,1.10968,0.93884,0.92784,0.96938,0.84724,0.48551,0.43446,1.06522,0.0016832,0.0016832,0.0016832
14,120.72,0.52597,0.43149,1.08537,0.93478,0.9358,0.97052,0.86937,0.46748,0.41428,1.05725,0.0016568,0.0016568,0.0016568
15,129.178,0.55442,0.45389,1.10796,0.93857,0.92096,0.97526,0.85784,0.4716,0.46939,1.04722,0.0016304,0.0016304,0.0016304
16,137.653,0.56085,0.45102,1.11322,0.97517,0.91065,0.97622,0.86295,0.47956,0.40507,1.05796,0.001604,0.001604,0.001604
17,146.156,0.55048,0.44033,1.10602,0.97694,0.9244,0.98167,0.86752,0.48089,0.39357,1.06433,0.0015776,0.0015776,0.0015776
18,154.631,0.54331,0.59224,1.0978,0.9703,0.91065,0.9692,0.84868,0.51287,0.44217,1.08361,0.0015512,0.0015512,0.0015512
19,163.145,0.50978,0.41814,1.08188,0.96614,0.92096,0.97802,0.8877,0.42364,0.44421,1.00692,0.0015248,0.0015248,0.0015248
20,171.6,0.5276,0.44117,1.08783,0.96337,0.9037,0.9752,0.87524,0.45425,0.41842,1.05357,0.0014984,0.0014984,0.0014984
21,180.151,0.51117,0.41249,1.07682,0.95927,0.92784,0.98364,0.89344,0.44584,0.37149,1.02158,0.001472,0.001472,0.001472
22,188.735,0.53857,0.42255,1.10565,0.98285,0.90722,0.97494,0.8744,0.42526,0.3749,1.01025,0.0014456,0.0014456,0.0014456
23,197.271,0.5102,0.41399,1.07788,0.97088,0.91648,0.97766,0.8794,0.42287,0.37821,1.00609,0.0014192,0.0014192,0.0014192
24,205.76,0.52151,0.40419,1.09265,0.93853,0.94439,0.97186,0.88383,0.4516,0.38215,1.03001,0.0013928,0.0013928,0.0013928
25,214.202,0.5255,0.42868,1.08497,0.94751,0.93814,0.976,0.87223,0.45096,0.38569,1.02828,0.0013664,0.0013664,0.0013664
26,222.584,0.52968,0.39823,1.09344,0.96372,0.91272,0.98199,0.88244,0.46282,0.4199,1.05075,0.00134,0.00134,0.00134
27,231.077,0.4953,0.38822,1.06485,0.94173,0.94845,0.98215,0.88953,0.42082,0.35939,1.00734,0.0013136,0.0013136,0.0013136
28,239.71,0.47758,0.38137,1.05812,0.94366,0.92101,0.96801,0.8746,0.43214,0.42871,1.01222,0.0012872,0.0012872,0.0012872
29,248.296,0.50237,0.38407,1.08663,0.96741,0.91815,0.97694,0.88999,0.42444,0.36934,1.00136,0.0012608,0.0012608,0.0012608
30,256.792,0.45282,0.36199,1.05039,0.96806,0.93726,0.9839,0.89238,0.40295,0.33754,0.98537,0.0012344,0.0012344,0.0012344
31,265.288,0.46966,0.56379,1.04737,0.97108,0.92319,0.9818,0.89492,0.40588,0.3301,0.99166,0.001208,0.001208,0.001208
32,273.767,0.48559,0.39226,1.06398,0.96545,0.93127,0.97783,0.89663,0.40139,0.34521,0.99839,0.0011816,0.0011816,0.0011816
33,282.256,0.47015,0.37203,1.06816,0.94214,0.95123,0.97597,0.88974,0.39268,0.3583,0.99928,0.0011552,0.0011552,0.0011552
34,290.706,0.48164,0.37445,1.05487,0.95404,0.92738,0.98221,0.89521,0.39724,0.35091,0.99565,0.0011288,0.0011288,0.0011288
35,299.242,0.46223,0.36983,1.06026,0.97236,0.9244,0.98193,0.89441,0.39427,0.33315,0.99162,0.0011024,0.0011024,0.0011024
36,307.692,0.44926,0.34895,1.04649,0.98515,0.89691,0.97988,0.89674,0.38906,0.34021,0.98753,0.001076,0.001076,0.001076
37,316.185,0.45611,0.35536,1.05199,0.9666,0.93814,0.98297,0.89816,0.40027,0.33057,0.98972,0.0010496,0.0010496,0.0010496
38,324.639,0.46271,0.37124,1.05482,0.97142,0.93448,0.98529,0.90653,0.39315,0.31787,0.98298,0.0010232,0.0010232,0.0010232
39,333.067,0.44051,0.34678,1.03871,0.96367,0.94158,0.98195,0.90628,0.38478,0.30891,0.96825,0.0009968,0.0009968,0.0009968
40,341.577,0.45263,0.33018,1.06182,0.96185,0.93814,0.98168,0.90967,0.36982,0.30578,0.97116,0.0009704,0.0009704,0.0009704
41,350.082,0.44035,0.34587,1.03812,0.97719,0.93471,0.98392,0.9061,0.37198,0.30443,0.9747,0.000944,0.000944,0.000944
42,358.541,0.43698,0.34561,1.03313,0.97163,0.94158,0.98268,0.90074,0.40245,0.32594,0.99139,0.0009176,0.0009176,0.0009176
43,367.297,0.45016,0.34388,1.04089,0.96443,0.93173,0.98455,0.90896,0.37193,0.31365,0.97011,0.0008912,0.0008912,0.0008912
44,375.737,0.43793,0.34217,1.04557,0.98896,0.9233,0.98527,0.905,0.38541,0.31508,0.98589,0.0008648,0.0008648,0.0008648
45,384.175,0.43161,0.32795,1.04228,0.95788,0.94502,0.98186,0.90498,0.36149,0.30499,0.9651,0.0008384,0.0008384,0.0008384
46,392.733,0.43036,0.32874,1.03644,0.93755,0.94502,0.98114,0.91186,0.35138,0.29634,0.96068,0.000812,0.000812,0.000812
47,401.269,0.46219,0.33757,1.06146,0.96409,0.92249,0.9823,0.90775,0.35552,0.30147,0.96381,0.0007856,0.0007856,0.0007856
48,409.684,0.42716,0.34023,1.04274,0.96432,0.92874,0.98401,0.91191,0.35632,0.2995,0.96232,0.0007592,0.0007592,0.0007592
49,418.11,0.4249,0.3234,1.02899,0.95787,0.94502,0.98542,0.91637,0.34814,0.30156,0.9575,0.0007328,0.0007328,0.0007328
50,426.713,0.41162,0.3196,1.02229,0.94782,0.93636,0.9839,0.9157,0.34181,0.30731,0.94947,0.0007064,0.0007064,0.0007064
51,435.21,0.40725,0.56575,1.0189,0.9421,0.95052,0.98056,0.91427,0.34171,0.28673,0.94999,0.00068,0.00068,0.00068
52,443.667,0.40086,0.29821,1.02043,0.96763,0.92437,0.98256,0.91258,0.34368,0.28383,0.95063,0.0006536,0.0006536,0.0006536
53,452.207,0.41111,0.31653,1.02499,0.94585,0.94502,0.98182,0.91661,0.34422,0.28688,0.94606,0.0006272,0.0006272,0.0006272
54,460.608,0.409,0.30879,1.02018,0.96447,0.93273,0.98464,0.9191,0.33122,0.27918,0.93844,0.0006008,0.0006008,0.0006008
