epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.46873,1.05902,2.91299,1.41804,0.64009,0.05871,0.25125,0.20193,1.15129,2.60402,1.51862,0.00026672,0.00026672,0.00026672
2,4.70571,0.94038,2.3746,1.29541,0.78603,0.34247,0.32977,0.23245,1.00967,2.12055,1.25769,0.000539218,0.000539218,0.000539218
3,6.8462,0.92114,1.70228,1.21541,0.51417,0.64055,0.56511,0.37264,1.03625,1.79267,1.24742,0.000800493,0.000800493,0.000800493
4,9.0473,0.85832,1.27801,1.16869,0.90976,0.65633,0.74944,0.54789,0.8823,2.01699,1.13744,0.00105055,0.00105055,0.00105055
5,11.1544,0.83097,1.14703,1.14674,0.90316,0.75602,0.86309,0.64198,0.78896,1.84366,1.09122,0.00128938,0.00128938,0.00128938
6,13.238,0.84337,1.14109,1.115,0.87509,0.79712,0.86011,0.60782,0.8867,1.56743,1.18273,0.00150197,0.00150197,0.00150197
7,15.2405,0.79829,1.04716,1.1202,0.83498,0.83105,0.87849,0.65153,0.7866,1.52725,1.13653,0.00146896,0.00146896,0.00146896
8,17.2664,0.80945,1.05889,1.12418,0.91381,0.84884,0.89936,0.66495,0.76374,1.27673,1.14516,0.00143595,0.00143595,0.00143595
9,19.3079,0.77488,0.97066,1.09866,0.91896,0.82533,0.8952,0.67765,0.76802,1.0147,1.11388,0.00140295,0.00140295,0.00140295
10,21.3941,0.75137,0.9455,1.07816,0.90765,0.84554,0.9024,0.68379,0.75022,0.94517,1.12111,0.00136994,0.00136994,0.00136994
11,23.4748,0.72602,0.86921,1.06894,0.94797,0.78873,0.89776,0.70522,0.69255,0.85211,1.05891,0.00133693,0.00133693,0.00133693
12,25.495,0.72907,0.87151,1.06291,0.95928,0.8042,0.89184,0.7025,0.71061,0.88684,1.08699,0.00130393,0.00130393,0.00130393
13,27.4833,0.71069,0.8262,1.05319,0.96858,0.79761,0.89849,0.7186,0.68959,0.83469,1.08292,0.00127092,0.00127092,0.00127092
14,29.4574,0.69166,0.83698,1.06418,0.95121,0.81136,0.89235,0.72366,0.72658,0.82832,1.11931,0.00123791,0.00123791,0.00123791
15,32.0761,0.69997,0.81835,1.07777,0.94609,0.79735,0.90739,0.72582,0.70979,0.80042,1.0955,0.00120491,0.00120491,0.00120491
16,34.1087,0.67926,0.78002,1.04988,0.93963,0.81967,0.91625,0.73568,0.67838,0.74882,1.08545,0.0011719,0.0011719,0.0011719
17,36.1332,0.72999,0.79836,1.09059,0.93281,0.84294,0.92517,0.74349,0.67629,0.71349,1.07964,0.00113889,0.00113889,0.00113889
18,38.1745,0.67132,0.75165,1.04333,0.93538,0.84687,0.92269,0.72558,0.69191,0.75511,1.07272,0.00110589,0.00110589,0.00110589
19,40.1576,0.67514,0.75552,1.05058,0.92354,0.85657,0.92714,0.7395,0.66072,0.73214,1.04949,0.00107288,0.00107288,0.00107288
20,42.1277,0.62524,0.70239,1.01747,0.96211,0.85061,0.93415,0.74522,0.65982,0.71083,1.03429,0.00103987,0.00103987,0.00103987
21,44.1532,0.64958,0.73325,1.0675,0.95602,0.84667,0.92526,0.74544,0.6495,0.7177,1.02001,0.00100687,0.00100687,0.00100687
22,46.1579,0.61645,0.67576,1.01505,0.94457,0.84828,0.92377,0.7472,0.6475,0.73435,1.03835,0.000973861,0.000973861,0.000973861
23,48.1914,0.59899,0.67099,1.00768,0.92274,0.85,0.91527,0.73301,0.6704,0.75835,1.0691,0.000940855,0.000940855,0.000940855
24,50.1853,0.60218,0.67302,1.00157,0.89951,0.87028,0.92129,0.74473,0.63788,0.73499,1.03777,0.000907848,0.000907848,0.000907848
25,52.127,0.60069,0.65257,1.00383,0.92304,0.88866,0.9358,0.75488,0.66308,0.69814,1.05792,0.000874842,0.000874842,0.000874842
26,54.1454,0.58845,0.67556,1.00745,0.94901,0.87518,0.94544,0.76625,0.63171,0.6574,1.05871,0.000841835,0.000841835,0.000841835
27,56.1397,0.55226,0.60798,0.99454,0.93913,0.87978,0.93338,0.75364,0.6313,0.63292,1.03782,0.000808828,0.000808828,0.000808828
28,58.085,0.56955,0.61532,0.99338,0.93174,0.91078,0.94695,0.76004,0.64081,0.64936,1.04511,0.000775822,0.000775822,0.000775822
29,60.0639,0.56822,0.62131,0.99617,0.95714,0.87116,0.94179,0.74971,0.67095,0.67271,1.06172,0.000742815,0.000742815,0.000742815
30,62.0825,0.57547,0.63074,0.99294,0.94509,0.88011,0.93843,0.74926,0.6426,0.67157,1.02919,0.000709809,0.000709809,0.000709809
31,64.0755,0.54748,0.59153,0.97734,0.95636,0.89093,0.94386,0.75498,0.64538,0.66865,1.03622,0.000676802,0.000676802,0.000676802
32,66.054,0.53903,0.57646,0.9925,0.94813,0.86403,0.9325,0.76695,0.61007,0.62154,1.04552,0.000643795,0.000643795,0.000643795
33,68.0502,0.53012,0.57809,0.98066,0.94245,0.85689,0.93289,0.7778,0.57947,0.60176,1.03349,0.000610789,0.000610789,0.000610789
34,70.0166,0.53698,0.57076,0.9983,0.90534,0.893,0.94173,0.77882,0.58625,0.60389,1.00631,0.000577782,0.000577782,0.000577782
35,72.0223,0.53784,0.57007,0.99291,0.96836,0.85569,0.94584,0.76718,0.58641,0.58741,0.98776,0.000544776,0.000544776,0.000544776
36,74.0237,0.54025,0.56309,0.96974,0.97181,0.85569,0.94764,0.76293,0.61057,0.56977,1.00913,0.000511769,0.000511769,0.000511769
37,76.0143,0.52325,0.54188,0.98464,0.91989,0.9126,0.94723,0.76762,0.58585,0.55212,0.99613,0.000478762,0.000478762,0.000478762
38,77.992,0.53256,0.55605,0.96891,0.93114,0.91487,0.95107,0.76098,0.6085,0.56391,1.00355,0.000445756,0.000445756,0.000445756
39,79.9302,0.50897,0.53349,0.96336,0.94235,0.90661,0.94844,0.76371,0.57968,0.56981,0.99394,0.000412749,0.000412749,0.000412749
40,81.8626,0.51553,0.54908,0.96987,0.94201,0.9067,0.95039,0.77367,0.5833,0.5803,0.99358,0.000379743,0.000379743,0.000379743
41,108.109,0.47228,0.57961,0.91588,0.94868,0.90387,0.95299,0.77869,0.5886,0.56978,0.99558,0.000346736,0.000346736,0.000346736
42,110.141,0.47491,0.54891,0.91062,0.93989,0.91581,0.95107,0.76837,0.60194,0.58709,0.98985,0.000313729,0.000313729,0.000313729
43,112.14,0.438,0.54219,0.89049,0.9503,0.90387,0.9478,0.77829,0.56759,0.5692,0.97344,0.000280723,0.000280723,0.000280723
44,114.125,0.44463,0.54848,0.89231,0.95355,0.89909,0.9399,0.78088,0.55035,0.55482,0.97674,0.000247716,0.000247716,0.000247716
45,116.119,0.42763,0.50144,0.88026,0.95484,0.8936,0.94141,0.77614,0.53337,0.55362,0.96735,0.00021471,0.00021471,0.00021471
46,118.05,0.41378,0.50793,0.8938,0.95959,0.89786,0.94221,0.77825,0.54334,0.55497,0.96353,0.000181703,0.000181703,0.000181703
47,120.052,0.40329,0.4836,0.88739,0.95789,0.89755,0.94201,0.78066,0.557,0.54816,0.96447,0.000148696,0.000148696,0.000148696
48,122.092,0.4086,0.49166,0.87743,0.95534,0.90251,0.94133,0.78754,0.55498,0.54493,0.96124,0.00011569,0.00011569,0.00011569
49,124.121,0.41793,0.49394,0.8926,0.9577,0.91072,0.94638,0.7918,0.548,0.53983,0.96004,8.26832e-05,8.26832e-05,8.26832e-05
50,126.093,0.39061,0.47281,0.86917,0.95884,0.91035,0.95016,0.79507,0.54211,0.53458,0.95908,4.96766e-05,4.96766e-05,4.96766e-05
