epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.36693,0.36388,0.29644,1.00063,0.981,0.94744,0.98845,0.93623,0.34847,0.28591,1.00342,0.000655367,0.000655367,0.000655367
2,12.295,0.41388,0.32948,1.02453,0.96287,0.95167,0.97805,0.90248,0.46291,0.34961,1.09726,0.00130895,0.00130895,0.00130895
3,18.0104,0.44322,0.35386,1.06343,0.98074,0.93435,0.98057,0.90334,0.40905,0.41255,1.0438,0.00194932,0.00194932,0.00194932
4,23.7593,0.4439,0.36616,1.03908,0.98043,0.91941,0.96591,0.87648,0.41726,0.40046,1.02486,0.0019406,0.0019406,0.0019406
5,29.4938,0.49812,0.39974,1.07245,0.97352,0.92661,0.97129,0.88019,0.42512,0.40574,1.06202,0.0019208,0.0019208,0.0019208
6,35.0496,0.4509,0.35318,1.05663,0.96396,0.94495,0.9792,0.88039,0.47769,0.3787,1.11926,0.001901,0.001901,0.001901
7,40.7217,0.47006,0.37658,1.08351,0.99028,0.93483,0.98322,0.90808,0.40609,0.38243,1.03188,0.0018812,0.0018812,0.0018812
8,46.2339,0.46557,0.37704,1.06715,0.99175,0.91743,0.96936,0.89522,0.41143,0.34417,1.02624,0.0018614,0.0018614,0.0018614
9,51.7727,0.4538,0.36267,1.05708,0.97915,0.90826,0.98219,0.89525,0.4133,0.38764,1.04111,0.0018416,0.0018416,0.0018416
10,57.4713,0.47919,0.38003,1.08343,0.99023,0.92942,0.98773,0.91129,0.43078,0.32235,1.03157,0.0018218,0.0018218,0.0018218
11,63.651,0.47719,0.37275,1.06494,0.99026,0.93279,0.98062,0.88907,0.45153,0.37876,1.05537,0.001802,0.001802,0.001802
12,69.2216,0.48415,0.39026,1.08146,0.99997,0.93578,0.98233,0.89757,0.42155,0.3479,1.04443,0.0017822,0.0017822,0.0017822
13,74.7735,0.45155,0.38092,1.05151,0.97113,0.95413,0.98857,0.90741,0.40695,0.34085,1.03625,0.0017624,0.0017624,0.0017624
14,80.2785,0.45063,0.36991,1.05331,0.9903,0.93635,0.99027,0.91859,0.3899,0.32151,1.01591,0.0017426,0.0017426,0.0017426
15,85.7903,0.44518,0.36362,1.05775,0.96699,0.93578,0.97422,0.90914,0.40176,0.3899,1.01456,0.0017228,0.0017228,0.0017228
16,91.3394,0.45199,0.36127,1.05865,0.99027,0.93343,0.97147,0.90831,0.39058,0.37029,1.01489,0.001703,0.001703,0.001703
17,96.8582,0.45608,0.35208,1.05549,0.98068,0.93137,0.97911,0.89653,0.40375,0.37071,1.01967,0.0016832,0.0016832,0.0016832
18,102.422,0.46432,0.37339,1.06556,0.9462,0.95413,0.97978,0.91059,0.36471,0.34837,0.99121,0.0016634,0.0016634,0.0016634
19,108.097,0.45305,0.35053,1.05109,0.97293,0.93578,0.98304,0.9067,0.39526,0.36495,1.03211,0.0016436,0.0016436,0.0016436
20,113.598,0.45857,0.35173,1.07318,0.98031,0.9136,0.98683,0.91158,0.37178,0.3083,1.01059,0.0016238,0.0016238,0.0016238
21,119.168,0.44073,0.36409,1.04798,1,0.9234,0.97943,0.90936,0.3892,0.33609,1.0346,0.001604,0.001604,0.001604
22,124.79,0.45667,0.35999,1.0663,0.99019,0.92613,0.95916,0.8908,0.4017,0.39518,1.02306,0.0015842,0.0015842,0.0015842
23,130.383,0.44744,0.36622,1.05927,0.97896,0.93578,0.97891,0.91492,0.37527,0.31991,0.99796,0.0015644,0.0015644,0.0015644
24,135.969,0.44031,0.3472,1.05324,0.99863,0.93578,0.98904,0.92763,0.3689,0.30774,1.00428,0.0015446,0.0015446,0.0015446
25,141.546,0.45604,0.36307,1.0557,0.98128,0.96186,0.98336,0.88978,0.42966,0.33977,1.06762,0.0015248,0.0015248,0.0015248
26,147.14,0.4535,0.36114,1.05718,0.97184,0.9633,0.97781,0.90773,0.39102,0.33961,1.0115,0.001505,0.001505,0.001505
27,152.655,0.45151,0.35907,1.05486,0.97649,0.94495,0.97773,0.91009,0.39352,0.35212,1.01699,0.0014852,0.0014852,0.0014852
28,158.262,0.43814,0.36525,1.05273,0.98921,0.94495,0.979,0.91614,0.36564,0.32272,0.98949,0.0014654,0.0014654,0.0014654
29,163.939,0.42986,0.34188,1.03918,0.99036,0.94252,0.98379,0.90922,0.39644,0.31989,1.02677,0.0014456,0.0014456,0.0014456
30,169.454,0.43371,0.35097,1.03877,0.9859,0.93578,0.98654,0.90507,0.41206,0.36084,1.03826,0.0014258,0.0014258,0.0014258
31,175.084,0.44006,0.34028,1.05142,0.96477,0.94495,0.98536,0.92097,0.38861,0.32287,1.02244,0.001406,0.001406,0.001406
32,180.75,0.44555,0.33902,1.05427,0.97987,0.93578,0.98283,0.89614,0.42897,0.37204,1.03833,0.0013862,0.0013862,0.0013862
33,186.282,0.41438,0.33644,1.04427,0.99848,0.92661,0.98465,0.91749,0.34408,0.30777,0.9816,0.0013664,0.0013664,0.0013664
