epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3214,0.68279,1.39464,1.21974,0.9327,0.85722,0.91743,0.74641,0.68524,1.82496,1.34542,0.000658436,0.000658436,0.000658436
2,19.0292,0.77095,1.10131,1.27109,0.88435,0.71821,0.86175,0.57056,1.06523,1.60926,1.81106,0.00131198,0.00131198,0.00131198
3,27.3337,0.79696,0.9692,1.2658,0.83698,0.81787,0.88401,0.63353,0.88833,1.27401,1.45249,0.00195233,0.00195233,0.00195233
4,35.7437,0.80371,0.8869,1.27323,0.91467,0.84728,0.91377,0.70019,0.79267,1.10379,1.39608,0.0019406,0.0019406,0.0019406
5,43.9508,0.76181,0.81884,1.26048,0.87483,0.87629,0.92221,0.69259,0.77868,0.89229,1.35403,0.0019208,0.0019208,0.0019208
6,52.1525,0.7367,0.78476,1.23374,0.90448,0.87629,0.93302,0.74016,0.75317,0.76997,1.35344,0.001901,0.001901,0.001901
7,60.334,0.75275,0.7734,1.24131,0.83577,0.8569,0.91354,0.70817,0.71521,0.90052,1.30348,0.0018812,0.0018812,0.0018812
8,68.6108,0.67384,0.65323,1.18956,0.84592,0.74227,0.86653,0.63923,0.90235,1.11201,1.45412,0.0018614,0.0018614,0.0018614
9,76.903,0.69575,0.64703,1.20549,0.95956,0.8488,0.94181,0.76792,0.66944,0.65857,1.22777,0.0018416,0.0018416,0.0018416
10,85.2456,0.68068,0.65884,1.19207,0.96074,0.84097,0.94423,0.79546,0.58389,0.60001,1.16192,0.0018218,0.0018218,0.0018218
11,93.5619,0.63437,0.59322,1.15199,0.93568,0.90378,0.95716,0.79426,0.61686,0.63575,1.18326,0.001802,0.001802,0.001802
12,101.823,0.65153,0.58698,1.18406,0.98309,0.89691,0.96439,0.82597,0.56513,0.481,1.17916,0.0017822,0.0017822,0.0017822
13,110.239,0.64368,0.56908,1.16483,0.96064,0.88316,0.96556,0.81027,0.55712,0.53412,1.14576,0.0017624,0.0017624,0.0017624
14,118.379,0.61429,0.53987,1.14433,0.94772,0.91065,0.96071,0.82422,0.54946,0.51544,1.13133,0.0017426,0.0017426,0.0017426
15,127.131,0.62581,0.54794,1.15762,0.95269,0.8997,0.96927,0.83416,0.53878,0.51591,1.11468,0.0017228,0.0017228,0.0017228
16,135.457,0.64032,0.54633,1.16753,0.97406,0.90321,0.97096,0.84603,0.49764,0.4793,1.07166,0.001703,0.001703,0.001703
17,143.762,0.62958,0.52198,1.15538,0.96566,0.91065,0.96136,0.83412,0.50525,0.44657,1.08316,0.0016832,0.0016832,0.0016832
18,152.013,0.61329,0.62734,1.13431,0.95117,0.93127,0.96786,0.83548,0.53704,0.44778,1.10682,0.0016634,0.0016634,0.0016634
19,160.308,0.5816,0.49515,1.13161,0.98072,0.90722,0.97286,0.855,0.50581,0.46724,1.08552,0.0016436,0.0016436,0.0016436
20,168.665,0.5868,0.51256,1.12577,0.97427,0.91102,0.97079,0.84932,0.51819,0.47163,1.10516,0.0016238,0.0016238,0.0016238
21,176.988,0.55812,0.48291,1.10636,0.94983,0.93127,0.96817,0.83387,0.52443,0.48349,1.11847,0.001604,0.001604,0.001604
22,185.202,0.59258,0.50368,1.14261,0.9817,0.91409,0.97835,0.85474,0.5057,0.45033,1.08275,0.0015842,0.0015842,0.0015842
23,193.403,0.57599,0.48872,1.12576,0.9739,0.89691,0.96559,0.85997,0.46329,0.42974,1.05377,0.0015644,0.0015644,0.0015644
24,201.742,0.56152,0.47229,1.11206,0.98193,0.93345,0.97104,0.86213,0.45523,0.39482,1.04561,0.0015446,0.0015446,0.0015446
25,210.004,0.57601,0.50503,1.1191,0.95484,0.87629,0.9629,0.83683,0.54205,0.50215,1.11388,0.0015248,0.0015248,0.0015248
26,218.307,0.58678,0.47209,1.13105,0.90116,0.90861,0.95332,0.81454,0.53663,0.5514,1.11723,0.001505,0.001505,0.001505
27,226.785,0.57281,0.47269,1.11723,0.99241,0.89922,0.97456,0.86845,0.44959,0.4073,1.03569,0.0014852,0.0014852,0.0014852
28,235.098,0.53804,0.44203,1.0961,0.97367,0.88965,0.97022,0.85062,0.50682,0.45495,1.07459,0.0014654,0.0014654,0.0014654
29,243.354,0.57331,0.44627,1.135,0.98508,0.91753,0.97338,0.87105,0.44819,0.39629,1.04571,0.0014456,0.0014456,0.0014456
30,251.61,0.49628,0.41054,1.07528,0.99216,0.92096,0.97243,0.87882,0.4247,0.37137,1.01243,0.0014258,0.0014258,0.0014258
31,259.866,0.51273,0.56975,1.07171,0.95074,0.93471,0.97391,0.87999,0.40956,0.39408,1.00586,0.001406,0.001406,0.001406
32,268.363,0.52808,0.43084,1.08556,0.9686,0.92784,0.96715,0.86797,0.43044,0.38231,1.02473,0.0013862,0.0013862,0.0013862
33,276.58,0.51257,0.42688,1.08848,0.93873,0.93814,0.98013,0.88549,0.43004,0.37286,1.02831,0.0013664,0.0013664,0.0013664
34,284.706,0.51993,0.41231,1.07859,0.98129,0.91753,0.97251,0.88315,0.4289,0.3534,1.01007,0.0013466,0.0013466,0.0013466
35,292.882,0.50918,0.41792,1.08422,0.98536,0.92096,0.97817,0.88222,0.39813,0.36208,0.99608,0.0013268,0.0013268,0.0013268
36,301.039,0.50176,0.39966,1.07694,0.97816,0.9244,0.97508,0.871,0.43325,0.3755,1.03657,0.001307,0.001307,0.001307
37,309.294,0.50982,0.4041,1.08611,0.96379,0.9244,0.9656,0.87001,0.41984,0.36974,1.00916,0.0012872,0.0012872,0.0012872
38,317.499,0.51097,0.42051,1.08616,0.99486,0.90722,0.97378,0.88612,0.41721,0.38051,0.99765,0.0012674,0.0012674,0.0012674
39,325.631,0.50082,0.40565,1.0709,0.9624,0.93471,0.97483,0.88523,0.4014,0.34607,1.00075,0.0012476,0.0012476,0.0012476
40,333.764,0.49786,0.38175,1.09196,0.98179,0.92644,0.97618,0.89435,0.38753,0.33696,0.98633,0.0012278,0.0012278,0.0012278
41,342.052,0.50023,0.39841,1.07871,0.96812,0.93926,0.97977,0.89797,0.39571,0.33587,1.01457,0.001208,0.001208,0.001208
42,350.258,0.49578,0.39238,1.07411,0.95741,0.94158,0.9812,0.88853,0.40701,0.32521,1.00319,0.0011882,0.0011882,0.0011882
43,358.394,0.48936,0.39204,1.06532,0.96807,0.92096,0.98169,0.89759,0.38287,0.33744,0.98444,0.0011684,0.0011684,0.0011684
44,366.547,0.48569,0.39057,1.07628,0.97097,0.9244,0.97961,0.89519,0.39969,0.35106,0.99375,0.0011486,0.0011486,0.0011486
45,374.791,0.47762,0.37774,1.06992,0.9875,0.93471,0.98091,0.90765,0.38139,0.33941,0.97193,0.0011288,0.0011288,0.0011288
46,383.028,0.47975,0.37822,1.0594,0.97834,0.93117,0.98108,0.89717,0.40347,0.32827,0.98031,0.001109,0.001109,0.001109
47,391.135,0.49775,0.38675,1.07238,0.97818,0.92414,0.98034,0.89946,0.39115,0.33862,0.98616,0.0010892,0.0010892,0.0010892
48,399.456,0.46359,0.3852,1.0585,0.96127,0.93833,0.97971,0.89292,0.3983,0.34767,0.99268,0.0010694,0.0010694,0.0010694
49,407.763,0.4733,0.38004,1.05937,0.96791,0.94158,0.98054,0.89336,0.38443,0.32759,0.98657,0.0010496,0.0010496,0.0010496
50,415.865,0.46724,0.37844,1.05637,0.96394,0.9244,0.97674,0.88706,0.39923,0.33096,0.99747,0.0010298,0.0010298,0.0010298
51,424.176,0.44172,0.57467,1.04103,0.98179,0.92662,0.9768,0.8969,0.38197,0.33445,0.9798,0.00101,0.00101,0.00101
52,432.35,0.44224,0.35515,1.05101,0.96783,0.93058,0.98222,0.90686,0.37322,0.32199,0.96929,0.0009902,0.0009902,0.0009902
