epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.37572,0.68279,1.39464,1.21974,0.9327,0.85722,0.91743,0.74641,0.68524,1.82496,1.34542,0.000658436,0.000658436,0.000658436
2,18.0423,0.76795,1.09996,1.27365,0.78649,0.76289,0.84349,0.57427,0.96504,1.54389,1.6723,0.00129887,0.00129887,0.00129887
3,26.5271,0.77113,0.97291,1.25317,0.63788,0.62543,0.65823,0.32116,1.36448,1.93779,1.86558,0.0019129,0.0019129,0.0019129
4,35.0334,0.80378,0.9262,1.27556,0.86266,0.86598,0.88956,0.67022,0.75696,1.1298,1.3722,0.0018812,0.0018812,0.0018812
5,43.3379,0.75855,0.83872,1.27036,0.81711,0.76289,0.85275,0.59868,0.95776,1.22087,1.63613,0.0018416,0.0018416,0.0018416
6,51.6684,0.72674,0.7849,1.22251,0.89057,0.76976,0.89613,0.69511,0.77375,0.93907,1.34887,0.001802,0.001802,0.001802
7,59.9637,0.74752,0.74456,1.23205,0.90032,0.8866,0.93569,0.74203,0.71557,0.77773,1.31084,0.0017624,0.0017624,0.0017624
8,68.1639,0.69621,0.69433,1.21317,0.92961,0.86228,0.93258,0.77312,0.6075,0.69753,1.19873,0.0017228,0.0017228,0.0017228
9,77.1778,0.71651,0.66868,1.20657,0.92459,0.90034,0.95353,0.80094,0.58756,0.57521,1.16279,0.0016832,0.0016832,0.0016832
10,85.3327,0.67744,0.62565,1.19574,0.97407,0.90379,0.97143,0.81745,0.55272,0.51299,1.13847,0.0016436,0.0016436,0.0016436
11,93.5633,0.62116,0.58159,1.14413,0.97575,0.89691,0.97002,0.83914,0.55731,0.51894,1.13758,0.001604,0.001604,0.001604
12,102.229,0.63509,0.57006,1.1641,0.9559,0.91065,0.97582,0.84757,0.52372,0.47422,1.1199,0.0015644,0.0015644,0.0015644
13,110.33,0.61286,0.55054,1.14839,0.97317,0.91065,0.96424,0.83977,0.52421,0.48802,1.10742,0.0015248,0.0015248,0.0015248
14,118.391,0.5902,0.50819,1.12785,0.98622,0.90378,0.97937,0.85615,0.47871,0.42468,1.06092,0.0014852,0.0014852,0.0014852
