epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95044,0.72345,1.87748,0.9853,0.96751,0.74439,0.83344,0.7209,0.68925,2.01955,0.91686,0.000657005,0.000657005,0.000657005
2,18.8919,0.70678,1.23006,0.94975,0.92963,0.6606,0.8484,0.68517,0.75222,1.49453,0.93933,0.00129746,0.00129746,0.00129746
3,27.4749,0.75804,1.18796,0.98132,0.79969,0.86499,0.90525,0.70072,0.7584,1.65202,0.94666,0.00191152,0.00191152,0.00191152
4,35.9397,0.74165,1.04754,0.96542,0.95699,0.9272,0.97191,0.82102,0.61647,1.0188,0.89771,0.0018812,0.0018812,0.0018812
5,44.5017,0.70338,0.94707,0.94077,0.98923,0.95,0.97457,0.8234,0.63689,0.74533,0.87652,0.0018416,0.0018416,0.0018416
6,53.1934,0.6857,0.84682,0.93511,0.98732,0.94167,0.97728,0.84292,0.6445,0.67639,0.86541,0.001802,0.001802,0.001802
7,61.857,0.6426,0.74567,0.92792,0.98136,0.94167,0.98416,0.83448,0.64009,0.64846,0.86269,0.0017624,0.0017624,0.0017624
8,70.9501,0.65824,0.75692,0.93517,0.98202,0.91042,0.97547,0.83881,0.55508,0.73496,0.84259,0.0017228,0.0017228,0.0017228
1,8.56054,0.72345,1.87748,0.9853,0.96751,0.74439,0.83344,0.7209,0.68925,2.01955,0.91686,0.000657005,0.000657005,0.000657005
2,15.2813,0.70678,1.23006,0.94975,0.92963,0.6606,0.8484,0.68517,0.75222,1.49453,0.93933,0.00129746,0.00129746,0.00129746
3,21.8707,0.75804,1.18796,0.98132,0.79969,0.86499,0.90525,0.70072,0.7584,1.65202,0.94666,0.00191152,0.00191152,0.00191152
4,28.6696,0.74165,1.04754,0.96542,0.95699,0.9272,0.97191,0.82102,0.61647,1.0188,0.89771,0.0018812,0.0018812,0.0018812
5,35.8704,0.70338,0.94707,0.94077,0.98923,0.95,0.97457,0.8234,0.63689,0.74533,0.87652,0.0018416,0.0018416,0.0018416
6,42.594,0.6857,0.84682,0.93511,0.98732,0.94167,0.97728,0.84292,0.6445,0.67639,0.86541,0.001802,0.001802,0.001802
7,49.4468,0.6426,0.74567,0.92792,0.98136,0.94167,0.98416,0.83448,0.64009,0.64846,0.86269,0.0017624,0.0017624,0.0017624
8,57.0884,0.65824,0.75692,0.93517,0.98202,0.91042,0.97547,0.83881,0.55508,0.73496,0.84259,0.0017228,0.0017228,0.0017228
9,64.7502,0.63665,0.67451,0.93404,0.97454,0.9568,0.98867,0.85735,0.54295,0.54405,0.84542,0.0016832,0.0016832,0.0016832
10,72.8466,0.62397,0.64944,0.92655,0.97411,0.95,0.98524,0.85484,0.54791,0.51418,0.84627,0.0016436,0.0016436,0.0016436
11,80,0.58471,0.59512,0.91241,0.9963,0.95833,0.98681,0.86936,0.53661,0.49148,0.83401,0.001604,0.001604,0.001604
12,87.1539,0.56811,0.56951,0.9042,0.98192,0.96667,0.99302,0.86341,0.53378,0.44704,0.83854,0.0015644,0.0015644,0.0015644
13,95.6222,0.56966,0.55545,0.9103,0.97393,0.95833,0.98187,0.85201,0.51282,0.47772,0.83507,0.0015248,0.0015248,0.0015248
14,102.784,0.55168,0.54092,0.89854,0.9899,0.94167,0.98762,0.86744,0.51043,0.42509,0.82794,0.0014852,0.0014852,0.0014852
15,110.116,0.5345,0.51182,0.90222,0.97853,0.94167,0.99038,0.86664,0.51473,0.42937,0.82745,0.0014456,0.0014456,0.0014456
16,119.281,0.53602,0.49446,0.89439,0.96883,0.95833,0.99032,0.88067,0.47576,0.42593,0.82005,0.001406,0.001406,0.001406
17,127.381,0.52878,0.49281,0.88946,0.98108,0.96667,0.9914,0.89779,0.44314,0.38851,0.81582,0.0013664,0.0013664,0.0013664
18,135.058,0.51109,0.48592,0.89881,1,0.93121,0.9639,0.86592,0.46327,0.64398,0.82079,0.0013268,0.0013268,0.0013268
19,142.65,0.50936,0.47091,0.88307,0.97897,0.975,0.98218,0.88277,0.48211,0.42413,0.82669,0.0012872,0.0012872,0.0012872
20,150.065,0.51345,0.47999,0.88466,0.99145,0.96636,0.97636,0.88095,0.48965,0.4086,0.8326,0.0012476,0.0012476,0.0012476
21,157.324,0.51124,0.46701,0.89784,1,0.9499,0.98191,0.89575,0.46052,0.36825,0.81836,0.001208,0.001208,0.001208
22,164.83,0.51158,0.44815,0.88175,0.97839,0.975,0.99077,0.89135,0.45383,0.36298,0.81475,0.0011684,0.0011684,0.0011684
