epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.131,1.05574,1.19968,1.02932,0.82012,0.69753,0.77931,0.61208,0.87194,0.7595,0.9603,0.000416398,0.000416398,0.000416398
2,324.172,0.98207,0.79715,1.00327,0.86823,0.76772,0.84044,0.65911,0.86447,0.61345,0.96374,0.00081657,0.00081657,0.00081657
3,449.571,0.96009,0.72064,1.00165,0.84814,0.78854,0.85278,0.68857,0.81554,0.59519,0.95569,0.00120024,0.00120024,0.00120024
4,571.687,0.92691,0.67425,0.98868,0.85699,0.80154,0.87868,0.70916,0.78836,0.55468,0.94231,0.00117575,0.00117575,0.00117575
5,693.133,0.8941,0.63586,0.97762,0.88968,0.80121,0.90384,0.74102,0.76491,0.53286,0.93333,0.001151,0.001151,0.001151
6,814.384,0.87934,0.60996,0.97322,0.9238,0.78201,0.89938,0.74483,0.75692,0.50597,0.93519,0.00112625,0.00112625,0.00112625
7,934.523,0.87025,0.59305,0.96924,0.85851,0.83733,0.90429,0.75145,0.73408,0.50129,0.92504,0.0011015,0.0011015,0.0011015
8,1054.89,0.85412,0.57288,0.96327,0.91102,0.78066,0.89501,0.75123,0.73752,0.48508,0.92661,0.00107675,0.00107675,0.00107675
9,1175.67,0.84593,0.56308,0.95946,0.88453,0.85283,0.92025,0.75511,0.73384,0.49313,0.92699,0.001052,0.001052,0.001052
10,1295.88,0.83342,0.54672,0.95512,0.88891,0.82427,0.91057,0.76789,0.73094,0.49028,0.91956,0.00102725,0.00102725,0.00102725
11,1416.39,0.82354,0.53776,0.95041,0.90342,0.84157,0.91902,0.78212,0.71498,0.45944,0.91554,0.0010025,0.0010025,0.0010025
12,1537.27,0.81951,0.53072,0.95209,0.92035,0.85117,0.9367,0.79714,0.70573,0.44033,0.90964,0.00097775,0.00097775,0.00097775
13,1657.2,0.80912,0.51877,0.94684,0.91668,0.8626,0.92744,0.78725,0.69684,0.43307,0.91239,0.000953,0.000953,0.000953
14,1778.18,0.80486,0.51556,0.94726,0.90846,0.88879,0.94344,0.79976,0.70058,0.42672,0.91082,0.00092825,0.00092825,0.00092825
15,1899.01,0.79889,0.50844,0.94469,0.91498,0.87578,0.94129,0.80237,0.70707,0.43763,0.91698,0.0009035,0.0009035,0.0009035
16,2019.97,0.79153,0.50235,0.94345,0.93865,0.8661,0.94727,0.81033,0.68474,0.41595,0.90512,0.00087875,0.00087875,0.00087875
17,2141.16,0.79229,0.49619,0.94138,0.91706,0.85342,0.93036,0.80019,0.68382,0.41826,0.90646,0.000854,0.000854,0.000854
