epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.112,1.38642,1.51189,1.20881,0.7647,0.70423,0.76742,0.59788,0.95226,0.86744,0.99657,0.00333188,0.00333188,0.00333188
2,411.739,1.24881,1.02767,1.14332,0.79042,0.81949,0.85369,0.65627,0.93562,0.72004,0.99096,0.00653324,0.00653324,0.00653324
3,603.177,1.24296,0.94702,1.14232,0.83934,0.79225,0.85501,0.65507,0.94945,0.73214,1.00665,0.0096026,0.0096026,0.0096026
4,791.64,1.23169,0.88859,1.14536,0.88006,0.81962,0.89814,0.70731,0.91028,0.6149,0.99038,0.009406,0.009406,0.009406
5,981.809,1.19019,0.81277,1.12883,0.86275,0.84384,0.89687,0.72056,0.87378,0.61499,0.98195,0.009208,0.009208,0.009208
6,1172.15,1.1583,0.76785,1.11401,0.85895,0.85583,0.912,0.72731,0.85778,0.57961,0.973,0.00901,0.00901,0.00901
7,1362.31,1.12951,0.7339,1.10186,0.89418,0.86166,0.92255,0.74371,0.86645,0.55692,0.97602,0.008812,0.008812,0.008812
8,1551.92,1.10288,0.70593,1.09139,0.90281,0.86115,0.92764,0.75301,0.83829,0.54462,0.9671,0.008614,0.008614,0.008614
9,1741.4,1.09012,0.69,1.08639,0.8987,0.87285,0.93033,0.76284,0.82252,0.51467,0.9603,0.008416,0.008416,0.008416
10,1930.07,1.06899,0.66989,1.07758,0.89587,0.88582,0.93357,0.76963,0.81316,0.51192,0.95833,0.008218,0.008218,0.008218
11,2119.83,1.058,0.65851,1.07219,0.90818,0.88013,0.9427,0.77998,0.79518,0.49484,0.95197,0.00802,0.00802,0.00802
12,2310.03,1.04768,0.64899,1.06879,0.90845,0.88092,0.93954,0.77496,0.79822,0.49064,0.95085,0.007822,0.007822,0.007822
13,2500.42,1.03466,0.63434,1.06212,0.9229,0.88869,0.95012,0.79211,0.7798,0.47111,0.94332,0.007624,0.007624,0.007624
14,2693.2,1.02184,0.62243,1.05687,0.91371,0.89833,0.95203,0.79546,0.77707,0.4595,0.94353,0.007426,0.007426,0.007426
15,2887.69,1.01144,0.61238,1.05038,0.92747,0.88778,0.95573,0.79733,0.77089,0.46453,0.94072,0.007228,0.007228,0.007228
16,3077.22,1.00048,0.60526,1.04747,0.91695,0.89699,0.95593,0.80465,0.75994,0.4552,0.93922,0.00703,0.00703,0.00703
17,3269.95,0.98843,0.59572,1.0424,0.91857,0.9065,0.95743,0.8077,0.75446,0.4387,0.93405,0.006832,0.006832,0.006832
18,3460.26,0.98777,0.59179,1.04238,0.9174,0.9101,0.96047,0.80835,0.759,0.43798,0.93619,0.006634,0.006634,0.006634
19,3649.29,0.97676,0.58492,1.03658,0.92583,0.90479,0.95916,0.80859,0.75137,0.4366,0.93244,0.006436,0.006436,0.006436
20,3839.12,0.96808,0.57604,1.03564,0.92836,0.90512,0.96196,0.81279,0.74632,0.43121,0.9323,0.006238,0.006238,0.006238
21,4029.41,0.96134,0.56826,1.03046,0.9255,0.91202,0.96497,0.82061,0.73901,0.42739,0.92915,0.00604,0.00604,0.00604
22,4219.89,0.95777,0.56549,1.02939,0.92897,0.91321,0.96504,0.82045,0.73766,0.42284,0.92819,0.005842,0.005842,0.005842
23,4410.39,0.95141,0.55695,1.02605,0.93564,0.90978,0.96747,0.82163,0.7357,0.41931,0.92682,0.005644,0.005644,0.005644
24,4601.65,0.94423,0.55304,1.0256,0.93393,0.91167,0.96629,0.82256,0.73455,0.41964,0.92633,0.005446,0.005446,0.005446
25,4792.09,0.93775,0.54834,1.02038,0.92848,0.92159,0.9669,0.82588,0.72423,0.41298,0.92146,0.005248,0.005248,0.005248
26,4986.25,0.93111,0.5446,1.01714,0.9306,0.91477,0.96513,0.82832,0.72512,0.40924,0.9226,0.00505,0.00505,0.00505
27,5200.43,0.93057,0.54174,1.01788,0.92819,0.92423,0.96996,0.82889,0.72477,0.40574,0.92241,0.004852,0.004852,0.004852
28,5397.67,0.92467,0.53423,1.01493,0.93564,0.92612,0.97179,0.83293,0.71769,0.4,0.92018,0.004654,0.004654,0.004654
