epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0512,0.73668,1.3083,1.26288,0.84484,0.79399,0.84349,0.57505,0.95283,1.45416,1.58635,0.000662942,0.000662942,0.000662942
2,51.6408,0.81759,1.00587,1.2934,0.73859,0.65021,0.74034,0.49825,1.06909,1.53652,1.66431,0.00130328,0.00130328,0.00130328
3,68.2535,0.82899,0.94342,1.29879,0.90105,0.78167,0.84245,0.5353,1.18247,1.16962,1.89873,0.00191722,0.00191722,0.00191722
4,83.2211,0.84446,0.87989,1.30636,0.96157,0.78326,0.88618,0.71148,0.75553,0.89057,1.35241,0.0018812,0.0018812,0.0018812
5,98.067,0.79945,0.79627,1.27091,0.95473,0.80258,0.90088,0.74332,0.67651,0.74806,1.26683,0.0018416,0.0018416,0.0018416
6,112.879,0.78856,0.74007,1.26213,0.97968,0.82782,0.92107,0.78197,0.61672,0.61516,1.20481,0.001802,0.001802,0.001802
7,127.683,0.71695,0.67947,1.2109,0.94697,0.80043,0.9068,0.75796,0.63283,0.67225,1.21337,0.0017624,0.0017624,0.0017624
8,142.648,0.71429,0.67419,1.21794,0.92679,0.86934,0.93725,0.80134,0.61347,0.55899,1.19761,0.0017228,0.0017228,0.0017228
9,158.979,0.69058,0.6273,1.20189,0.9453,0.85301,0.91775,0.75949,0.65677,0.64889,1.2322,0.0016832,0.0016832,0.0016832
10,177.261,0.66041,0.59724,1.18137,0.97482,0.83476,0.92578,0.81998,0.52895,0.54245,1.10333,0.0016436,0.0016436,0.0016436
11,195.124,0.64982,0.58693,1.16968,0.95175,0.84661,0.92589,0.81669,0.52712,0.53507,1.09995,0.001604,0.001604,0.001604
12,217.365,0.65135,0.58339,1.16357,0.94764,0.85447,0.93204,0.82361,0.53862,0.5138,1.11776,0.0015644,0.0015644,0.0015644
13,241.494,0.64006,0.55941,1.15982,0.95773,0.82647,0.91632,0.80724,0.52482,0.55963,1.10469,0.0015248,0.0015248,0.0015248
14,265.311,0.62556,0.5699,1.15659,0.94095,0.85481,0.93277,0.8317,0.50515,0.50406,1.07319,0.0014852,0.0014852,0.0014852
15,292.459,0.60978,0.53243,1.13569,0.95003,0.84335,0.93257,0.82971,0.4878,0.52551,1.06876,0.0014456,0.0014456,0.0014456
16,315.467,0.59483,0.51549,1.13202,0.96818,0.85408,0.93888,0.82478,0.51312,0.50054,1.08228,0.001406,0.001406,0.001406
17,337.931,0.60003,0.51076,1.12468,0.94388,0.86618,0.93258,0.84581,0.46396,0.46614,1.04289,0.0013664,0.0013664,0.0013664
18,360.072,0.57271,0.49155,1.12089,0.97061,0.8412,0.93567,0.84567,0.47514,0.48177,1.05418,0.0013268,0.0013268,0.0013268
19,381.884,0.58493,0.50752,1.12254,0.97309,0.85352,0.93868,0.85001,0.47436,0.45523,1.05181,0.0012872,0.0012872,0.0012872
20,403.994,0.57028,0.48497,1.11599,0.94466,0.87913,0.95149,0.86644,0.44873,0.44199,1.01585,0.0012476,0.0012476,0.0012476
21,426.534,0.56896,0.48892,1.11555,0.96624,0.85984,0.93731,0.83394,0.49313,0.48403,1.07627,0.001208,0.001208,0.001208
22,448.425,0.54975,0.45398,1.1059,0.95727,0.86543,0.93991,0.86479,0.42543,0.41841,1.00779,0.0011684,0.0011684,0.0011684
23,470.327,0.55996,0.46983,1.11454,0.92903,0.89914,0.95061,0.86632,0.43234,0.41785,1.01152,0.0011288,0.0011288,0.0011288
24,492.271,0.52411,0.4526,1.08935,0.94948,0.86481,0.93551,0.85214,0.43271,0.43909,1.02131,0.0010892,0.0010892,0.0010892
25,514.043,0.52225,0.44181,1.09212,0.95721,0.86266,0.93706,0.85845,0.42092,0.4228,1.00311,0.0010496,0.0010496,0.0010496
26,538.752,0.52466,0.43371,1.08969,0.92118,0.88841,0.93471,0.86004,0.43087,0.4448,1.00795,0.00101,0.00101,0.00101
27,562.093,0.52399,0.43798,1.08908,0.94302,0.90343,0.9522,0.87394,0.40126,0.39872,0.98261,0.0009704,0.0009704,0.0009704
28,584.592,0.52012,0.42497,1.08839,0.94363,0.8691,0.94194,0.86638,0.41111,0.41432,0.99456,0.0009308,0.0009308,0.0009308
29,606.66,0.48872,0.40038,1.067,0.94114,0.88841,0.94424,0.86954,0.41195,0.41235,0.98948,0.0008912,0.0008912,0.0008912
30,628.919,0.50427,0.42062,1.07503,0.96736,0.85622,0.94391,0.87333,0.40456,0.41299,0.99845,0.0008516,0.0008516,0.0008516
31,650.979,0.47454,0.39795,1.06696,0.91492,0.90002,0.95287,0.88185,0.39128,0.38603,0.97479,0.000812,0.000812,0.000812
32,672.827,0.48985,0.40116,1.06326,0.95036,0.87339,0.94228,0.87252,0.38995,0.39233,0.98021,0.0007724,0.0007724,0.0007724
33,694.95,0.48009,0.39188,1.06065,0.96248,0.86481,0.94022,0.87242,0.39247,0.39078,0.98638,0.0007328,0.0007328,0.0007328
34,717.281,0.47839,0.39612,1.06461,0.95067,0.87554,0.94749,0.87517,0.3972,0.40119,0.98291,0.0006932,0.0006932,0.0006932
35,738.88,0.47465,0.38219,1.05987,0.95103,0.87983,0.94457,0.87938,0.38363,0.40691,0.96901,0.0006536,0.0006536,0.0006536
36,760.933,0.46251,0.37084,1.05516,0.92106,0.88841,0.94601,0.87637,0.39751,0.40886,0.96433,0.000614,0.000614,0.000614
37,782.961,0.46839,0.38217,1.04986,0.91907,0.89914,0.9443,0.88537,0.35516,0.38454,0.94915,0.0005744,0.0005744,0.0005744
38,805.431,0.45341,0.3662,1.0468,0.94094,0.88627,0.94727,0.88854,0.36615,0.38721,0.94862,0.0005348,0.0005348,0.0005348
