epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.964,1.37586,1.53535,1.19414,0.80817,0.68385,0.78912,0.61436,0.93422,0.85098,0.9921,0.00332945,0.00332945,0.00332945
2,300.923,1.23962,0.99673,1.12821,0.8131,0.76126,0.83722,0.64067,0.97614,0.7539,0.99672,0.00660782,0.00660782,0.00660782
3,445.006,1.22828,0.91803,1.12688,0.85438,0.79453,0.86384,0.67227,0.91728,0.67816,0.9942,0.00983118,0.00983118,0.00983118
4,587.676,1.21121,0.85355,1.13051,0.8762,0.80659,0.88064,0.69972,0.89045,0.63606,0.9834,0.0097525,0.0097525,0.0097525
5,730.172,1.16337,0.77947,1.11096,0.86349,0.83749,0.89556,0.70597,0.89076,0.64728,0.98241,0.00967,0.00967,0.00967
6,872.28,1.13063,0.73881,1.09776,0.88898,0.83134,0.90818,0.73056,0.8424,0.56862,0.96928,0.0095875,0.0095875,0.0095875
7,1014.68,1.10124,0.70212,1.08547,0.89756,0.84426,0.91731,0.74127,0.83403,0.56021,0.96574,0.009505,0.009505,0.009505
8,1157.2,1.07735,0.67868,1.07619,0.8986,0.86571,0.93571,0.756,0.8201,0.52322,0.95944,0.0094225,0.0094225,0.0094225
9,1300.43,1.0596,0.65982,1.06899,0.90508,0.86975,0.93899,0.77059,0.82177,0.50721,0.9599,0.00934,0.00934,0.00934
10,1447.98,1.04107,0.64286,1.06096,0.91178,0.88026,0.94411,0.78006,0.79331,0.49773,0.95169,0.0092575,0.0092575,0.0092575
11,1590.14,1.02969,0.63355,1.05651,0.88761,0.88213,0.93506,0.76278,0.82009,0.53514,0.95741,0.009175,0.009175,0.009175
12,1732.43,1.01903,0.62512,1.05246,0.90232,0.88027,0.94591,0.78353,0.79827,0.48993,0.94893,0.0090925,0.0090925,0.0090925
13,1874.82,1.00708,0.61101,1.04642,0.91619,0.89011,0.94989,0.78421,0.78695,0.47635,0.94648,0.00901,0.00901,0.00901
14,2017.34,0.99816,0.60343,1.04361,0.92876,0.88967,0.95469,0.79442,0.77377,0.46251,0.94276,0.0089275,0.0089275,0.0089275
15,2159.69,0.98299,0.59096,1.0372,0.92229,0.9008,0.95863,0.79928,0.75934,0.44982,0.93712,0.008845,0.008845,0.008845
16,2302.43,0.98285,0.58725,1.03639,0.92211,0.89984,0.95807,0.8019,0.76802,0.46163,0.93784,0.0087625,0.0087625,0.0087625
17,2444.71,0.97271,0.58069,1.03228,0.92027,0.90095,0.9572,0.80506,0.76125,0.45556,0.93848,0.00868,0.00868,0.00868
18,2586.99,0.96776,0.57478,1.03196,0.91743,0.91009,0.96043,0.81204,0.74793,0.44161,0.93084,0.0085975,0.0085975,0.0085975
19,2730.17,0.96339,0.56949,1.02841,0.92587,0.90631,0.96047,0.81348,0.7463,0.44537,0.93026,0.008515,0.008515,0.008515
20,2873.6,0.9551,0.56348,1.02571,0.92698,0.90401,0.96366,0.81588,0.74816,0.42728,0.93075,0.0084325,0.0084325,0.0084325
21,3016.87,0.94659,0.55889,1.02066,0.93286,0.91363,0.9669,0.8209,0.74149,0.42122,0.92902,0.00835,0.00835,0.00835
22,3159.46,0.94571,0.55341,1.0206,0.93297,0.91758,0.96708,0.8216,0.73803,0.41741,0.92766,0.0082675,0.0082675,0.0082675
23,3301.97,0.93755,0.54832,1.01677,0.93514,0.90904,0.96782,0.82446,0.73302,0.41543,0.92798,0.008185,0.008185,0.008185
24,3444.57,0.93223,0.54395,1.01626,0.926,0.92228,0.96646,0.82513,0.72669,0.41402,0.92456,0.0081025,0.0081025,0.0081025
25,3587.6,0.93254,0.54251,1.01584,0.93162,0.92571,0.9667,0.82444,0.72882,0.41565,0.92334,0.00802,0.00802,0.00802
26,3731.13,0.92381,0.5349,1.01128,0.93164,0.92444,0.96465,0.8287,0.73118,0.40917,0.92578,0.0079375,0.0079375,0.0079375
27,3874.53,0.9234,0.53488,1.0123,0.93271,0.9225,0.96889,0.83167,0.71906,0.40174,0.9197,0.007855,0.007855,0.007855
28,4017.41,0.91955,0.53297,1.01235,0.93784,0.91983,0.96929,0.82878,0.72456,0.41206,0.9231,0.0077725,0.0077725,0.0077725
29,4160.6,0.91277,0.52736,1.00723,0.94094,0.92399,0.97156,0.83669,0.71335,0.39724,0.91777,0.00769,0.00769,0.00769
30,4303.42,0.91509,0.52645,1.00898,0.94265,0.93094,0.97293,0.83932,0.7104,0.39297,0.91721,0.0076075,0.0076075,0.0076075
31,4446.42,0.90707,0.51961,1.00484,0.947,0.92901,0.97211,0.83831,0.7093,0.38693,0.91878,0.007525,0.007525,0.007525
32,4590.46,0.90353,0.51774,1.00377,0.94684,0.92746,0.9727,0.83875,0.70828,0.39086,0.91691,0.0074425,0.0074425,0.0074425
33,4733.52,0.90241,0.51715,1.00497,0.93728,0.92863,0.97119,0.84008,0.7075,0.3935,0.91556,0.00736,0.00736,0.00736
34,4880.81,0.89756,0.51217,1.00137,0.9518,0.93131,0.97429,0.84147,0.70823,0.38119,0.91665,0.0072775,0.0072775,0.0072775
35,5043.46,0.89835,0.51061,1.00238,0.94855,0.92844,0.97456,0.84396,0.70544,0.38458,0.91605,0.007195,0.007195,0.007195
36,5203.07,0.89596,0.50893,1.00263,0.94708,0.93445,0.97682,0.84645,0.70004,0.38118,0.91394,0.0071125,0.0071125,0.0071125
37,5363.84,0.89263,0.50683,0.99869,0.94045,0.93307,0.97638,0.84838,0.70161,0.38147,0.91363,0.00703,0.00703,0.00703
1,179.599,1.38229,1.51052,1.20098,0.79071,0.71795,0.79518,0.62,0.94875,0.84222,0.9846,0.00333139,0.00333139,0.00333139
2,345.082,1.24467,1.01029,1.13669,0.84848,0.79679,0.85966,0.66709,0.93029,0.71358,0.98825,0.00655476,0.00655476,0.00655476
3,506.517,1.23177,0.93048,1.13235,0.86051,0.77392,0.8604,0.66355,0.96807,0.69434,1.01316,0.00966812,0.00966812,0.00966812
4,666.478,1.22393,0.87344,1.13975,0.8794,0.82794,0.89567,0.70838,0.88948,0.65106,0.98418,0.009505,0.009505,0.009505
5,826.311,1.17365,0.79911,1.12044,0.86538,0.84141,0.9008,0.71665,0.87349,0.60517,0.97808,0.00934,0.00934,0.00934
6,986.723,1.14715,0.75235,1.10874,0.89543,0.84143,0.91692,0.7323,0.86919,0.56954,0.97667,0.009175,0.009175,0.009175
